,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,3.0,0.6212999820709229,"work, product, well, problem, return, item, box, screen, bad, battery","['overall', 'bluetooth', 'far', 'syncs', 'well', 'integrate', 'bluetooth', 'mercede', 'aftermarket', 'alpine', 'stereo', 'feature', 'design', 'poor', 'thought', 'look', 'great', 'body', 'far', 'slippery', 'handle', 'bar', 'soap', 'primary', 'morning', 'really', 'clumsy', 'nightstand', 'alarm', 'fully', 'awake', 'hard', 'open', 'drop', 'time', 'fumble', 'open', 'wide', 'opening', 'portrait', 'mode', 'landscape', 'mode', 'place', 'insert', 'finger', 'open', 'fingernail', 'previous', 'hand', 'almost', 'time', 'open', 'thing', 'old', 'flip', 'open', 'hand', 'wish', 'alarm', 'clock', 'snooze', 'function', 'clock', 'radio', 'allow', 'minute', 'snooze', 'time', 'short', 'allow', 'set', 'snooze', 'period', 'preference', 'way', 'display', 'time', 'front', 'screen', 'dark', 'open', 'well', 'fake', 'hold', 'lock', 'button', 'music', 'key', 'light', 'display', 'hold', 'second', 'time', 'reset', 'lock', 'unlock', 'back', 'call', 'cell', 'fail', 'clock', 'display', 'anywhere', 'well', 'time', 'call', 'let', 'meet', 'later', 'person', 'ask', 'ok', 'time', 'tell', 'quit', 'wear', 'watch', 'clock', 'cell', 'display', 'time', 'call', 'key', 'outside', 'bad', 'volume', 'little', 'accidentally', 'press', 'keyboard', 'idea', 'overall', 'find', 'type', 'little', 'chiclet', 'gum', 'candy', 'fingernail', 'avoid', 'fat', 'finger', 'qwerty', 'mode', 'end', 'button', 'close', 'space', 'bar', 'inadvertantly', 'kill', 'web', 'type', 'field', 'page', 'frustrating', 'end', 'key', 'farther', 'away', 'wish', 'engineer', 'page', 'key', 'scroll', 'cumbersome', 'end', 'send', 'key', 'somehow', 'traditional', 'red', 'green', 'color', 'outlook', 'contact', 'work', 'alright', 'contact', 'delete', 'resend', 'duplicate', 'bit', 'annoying', 'enter', 'ice', 'contact', 'manually', 'bluetooth', 'send', 'pic', 'netbook', 'time', 'cumbersome', 'select', 'multiple', 'photo', 'send', 'video', 'netbook', 'bluetooth', 'send', 'picture', 'message', 'email', 'fake', 'way', 'usage', 'charge', 'way', 'removable', 'storage', 'microsd', 'card', 'big', 'disappointment', 'calendar', 'useless', 'piece', 'junk', 'send', 'calendar', 'appointment', 'half', 'bake', 'set', 'reminder', 'outlook', 'reminder', 'carry', 'support', 'text', 'field', 'appointment', 'correspond', 'outlook', 'appointment', 'body', 'header', 'meeting', 'body', 'useful', 'appointment', 'empty', 'text', 'field', 'problem', 'text', 'long', 'carriage', 'return', 'text', 'enter', 'enter', 'description', 'display', 'empty', 'text', 'field', 'freeze', 'reboot', 'terrible', 'recur', 'meeting', 'miserably', 'half', 'baked', 'set', 'interval', 'week', 'work', 'work', 'schedule', 'work', 'work', 'choose', 'daily', 'weekly', 'monthly', 'annually', 'outlook', 'calendar', 'item', 'end', 'flaw', 'useless', 'really', 'plan', 'organizer', 'fail', 'meet', 'understand', 'calendar', 'product', 'next', 'time', 'ill', 'shop', 'different', 'brand', 'add', 'mobile', 'email', 'bad', 'room', 'improvement', 'bill', 'fully', 'integrate', 'eye', 'limit', 'file', 'viewer', 'certain', 'file', 'type', 'store', 'receive', 'email', 'attachment', 'mobile', 'email', 'support', 'access', 'attachment', 'call', 'fully', 'integrate', 'client', 'work', 'bit', 'inconsistently', 'maybe', 'issue', 'email', 'provider', 'pop', 'account', 'access', 'inbox', 'send', 'item', 'access', 'various', 'folder', 'ok', 'display', 'inbox', 'send', 'item', 'inbox', 'really', 'weird', 'imagine', 'folder', 'lump', 'togeter', 'mobile', 'email', 'bad', 'bit', 'unintuitive', 'find', 'add', 'recipient', 'email', 'contact', 'hard', 'find', 'clear', 'add', 'multiple', 'recipient', 'semicolon', 'beware', 'verizon', 'compusory', 'datum', 'plan', 'mislead', 'supposedly', 'month', 'data', 'usage', 'often', 'present', 'clearly', 'apply', 'web', 'browser', 'texte', 'picture', 'messaging', 'part', 'datum', 'connection', 'call', 'plan', 'data', 'plan', 'pay', 'additional', 'texting', 'plan', 'charge', 'message', 'pretty', 'furious', 'first', 'bill', 'arrive', 'find', 'charge', 'picture', 'message', 'send', 'part', 'datum', 'plan', 'player', 'alright', 'twice', 'freeze', 'nontypical', 'adapter', 'battery', 'life', 'work', 'listen', 'day', 'little', 'lunchtime', 'web_browsing', 'minute', 'full', 'battery', 'dead', 'hour', 'typical', 'whole', 'workday', 'sound', 'build', 'speaker', 'decent', 'small']"
1,1,3.0,0.7971000075340271,"work, product, well, problem, return, item, box, screen, bad, battery","['messaging', 'feature', 'type', 'text_message', 'much', 'hassle', 'keyboard', 'screen', 'quite', 'pretty', 'find', 'morphing', 'keyboard', 'great', 'feature', 'receiving', 'call', 'work', 'time', 'sometimes', 'reset', 'answer', 'call', 'time', 'light', 'call', 'actually', 'finish', 'process', 'start', 'ring', 'actually', 'call', 'tell', 'later', 'begin', 'kick', 'signing', 'contract', 'service', 'suspect', 'pain', 'butt', 'contract']"
2,2,1.0,0.5141000151634216,"buy, price, fast, really, give, love, look, money, day, quality","['keep', 'shut', 'full', 'charge', 'thought', 'problem', 'battery', 'husband', 'start', 'thing', 'several', 'time', 'day', 'hear', 'people', 'problem', 'local', 'verizon', 'store', 'offer', 'software', 'update', 'guarantee', 'correct', 'problem', 'claim', 'big', 'seller', 'never', 'hear', 'problem', 'refuse', 'look', 'problem', 'nature', 'electronic', 'device', 'guarantee', 'else', 'problem']"
3,3,1.0,0.6407999992370605,"buy, price, fast, really, give, love, look, money, day, quality","['bother', 'piece', 'junk', 'worst', 'ever_owne', 'turn', 'inexplicably', 'time', 'day', 'shut', 'middle', 'conversation', 'embarrass', 'close', 'fast', 'shut', 'body', 'way', 'slippery', 'drop', 'hand', 'dozen', 'time', 'hold', 'impossible', 'flip', 'open', 'hand', 'hand', 'open', 'terrible', 'product', 'quit', 'verizon', 'simply', 'offer', 'waste', 'time', 'money', 'junk']"
4,4,1.0,0.5776000022888184,"buy, price, fast, really, give, love, look, money, day, quality","['pro', 'creative', 'button', 'big', 'screen', 'qwerty', 'keyboard', 'con', 'sync', 'outlook', 'clunky', 'muddle', 'audio', 'speakerphone', 'really', 'give', 'credit', 'creatively', 'design', 'recommend', 'overall', 'simple', 'somewhat', 'complicated', 'keyboard', 'layout', 'constantly', 'change', 'base', 'screen', 'example', 'awkward', 'key', 'version', 'layout', 'keystroke', 'thing', 'turn', 'alarm', 'guess', 'spoil', 'almost', 'always', 'tend', 'best', 'design', 'user', 'interface', 'aside', 'clumsy', 'big', 'thing', 'kill', 'family', 'sync', 'contact', 'calendar', 'event', 'outlook', 'maybe', 'way', 'combination', 'usb', 'cable', 'worth', 'effort', 'especially', 'switch', 'care', 'aside', 'switch', 'week', 'later', 'poor', 'selection', 'verizon', 'verizon', 'disable', 'bluetooth', 'sync', 'capability', 'outlook', 'offer', 'overall', 'design', 'creatively', 'hip', 'design', 'poor', 'feature', 'essential']"
5,5,3.0,0.6779000163078308,"work, product, well, problem, return, item, box, screen, bad, battery","['call', 'fine', 'battery', 'life', 'terrific', 'compare', 'discard', 'nearly', 'identical', 'software', 'find', 'verizon', 'yet', 'standard', 'issue', 'ring_tones', 'pretty', 'bad', 'great', 'camera', 'however', 'support', 'bluetooth', 'file', 'system', 'profile', 'support', 'mark', 'multiple', 'photo', 'push', 'meaning', 'push', 'picture', 'painfully', 'slowly', 'pc', 'bluetooth', 'push', 'pic', 'today', 'day', 'lovely', 'end', 'key', 'next', 'space', 'key', 'inadvertently', 'tap', 'end', 'mobile', 'web', 'exit', 'matter', 'absolutely', 'madden', 'learn', 'time', 'front', 'display', 'permanently', 'set', 'mode', 'keep', 'long']"
6,6,1.0,0.5942000150680542,"buy, price, fast, really, give, love, look, money, day, quality","['love', 'qwerty', 'keyboard', 'great', 'texting', 'highlight', 'huge', 'drawback', 'call', 'bluetooth', 'voice', 'activation', 'system', 'useless', 'old', 'work', 'flawelessly', 'area', 'call', 'respond', 'dial', 'number', 'name', 'one', 'incredibly', 'frustrating', 'look', 'drive', 'rely', 'voice', 'activation', 'bluetooth', 'call', 'voice', 'activation', 'work', 'properly', 'look', 'scroll', 'address', 'book', 'generally', 'distract', 'instead', 'focus', 'road', 'disappointing']"
7,7,2.0,0.5246000289916992,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['env', 'month', 'ago', 'currently', 'wait', 'third', 'version', 'first', 'fail', 'month', 'key', 'outside', 'drop', 'call', 'back', 'menu', 'middle', 'texting', 'call', 'contact', 'random', 'time', 'much', 'new', 'one', 'refurbish', 'verizon', 'last', 'month', 'fail', 'similar', 'problem', 'almost', 'volume', 'maxe', 'set', 'wait', 'next', 'set', 'new', 'arrive', 'later', 'week', 'wait', 'long', 'last', 'upgrade', 'different', 'option', 'contract', 'year', 'upgrade']"
8,8,1.0,0.6754999756813049,"buy, price, fast, really, give, love, look, money, day, quality","['problem', 'phase', 'buy', 'inform', 'seller']"
9,9,3.0,0.4945000112056732,"work, product, well, problem, return, item, box, screen, bad, battery","['charge', 'instruct', 'hour', 'give', 'unplugged', 'black', 'screen', 'return']"
10,10,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
11,11,1.0,0.34929999709129333,"buy, price, fast, really, give, love, look, money, day, quality","['never', 'clear', 'previous', 'owner', 'information', 'number', 'cool']"
12,12,1.0,0.3517000079154968,"buy, price, fast, really, give, love, look, money, day, quality","['buy', 'sell', 'thing', 'wrong', 'color', 'scratch', 'beat', 'badly', 'worth', 'postage', 'return', 'exchange', 'daughter', 'work', 'hard', 'crap']"
13,13,3.0,0.37869998812675476,"work, product, well, problem, return, item, box, screen, bad, battery","['miss', 'include', 'follow', 'accessory', 'battery', 'battery', 'cover', 'applicable', 'answer', 'list', 'charger']"
14,14,3.0,0.5454000234603882,"work, product, well, problem, return, item, box, screen, bad, battery","['buy', 'replacement', 'read', 'review', 'verizon', 'activate', 'today', 'tell', 'packaging', 'indicate', 'problem', 'description', 'prepaid', 'almost']"
15,15,3.0,0.7452999949455261,"work, product, well, problem, return, item, box, screen, bad, battery","['work', 'page']"
16,16,3.0,0.41670000553131104,"work, product, well, problem, return, item, box, screen, bad, battery","['work', 'better']"
17,17,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
18,18,3.0,0.5625,"work, product, well, problem, return, item, box, screen, bad, battery","['work', 'well', 'expect']"
19,19,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
20,20,3.0,0.625,"work, product, well, problem, return, item, box, screen, bad, battery",['work']
21,21,3.0,0.6291999816894531,"work, product, well, problem, return, item, box, screen, bad, battery","['satisfied', 'activate', 'buzzing', 'sound', 'away']"
22,22,3.0,0.8741999864578247,"work, product, well, problem, return, item, box, screen, bad, battery","['send', 'however', 'product', 'advertise', 'prepay']"
23,23,2.0,0.4860000014305115,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['serve', 'well', 'year']"
24,24,3.0,0.678600013256073,"work, product, well, problem, return, item, box, screen, bad, battery","['work', 'somewhere', 'description']"
25,25,3.0,0.5730999708175659,"work, product, well, problem, return, item, box, screen, bad, battery","['receive', 'time', 'time', 'connect', 'able', 'lock', 'unlock', 'pass', 'code', 'finally', 'able', 'connect', 'battery', 'condition', 'seller']"
26,26,2.0,0.625,"describe, new, connect, screen, week, brand, last, basic, arrive, glass",['hate']
27,27,1.0,0.805899977684021,"buy, price, fast, really, give, love, look, money, day, quality","['complicated', 'read', 'simple']"
28,28,0.0,0.5468999743461609,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color","['wrong', 'charger', 'buy', 'charger', 'anymore']"
29,29,2.0,0.5224000215530396,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['fail', 'mention', 'already', 'water_damage', 'always', 'ring', 'call']"
30,30,3.0,0.7486000061035156,"work, product, well, problem, return, item, box, screen, bad, battery","['work', 'volume', 'fine', 'person', 'end', 'hear']"
31,31,2.0,0.4869999885559082,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['small', 'frill', 'basic', 'call', 'suppose']"
32,32,1.0,0.6417999863624573,"buy, price, fast, really, give, love, look, money, day, quality","['spotty', 'reception', 'live', 'dead', 'zone']"
33,33,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
34,34,1.0,0.521399974822998,"buy, price, fast, really, give, love, look, money, day, quality","['buy', 'temp', 'work', 'waste']"
35,35,3.0,0.7791000008583069,"work, product, well, problem, return, item, box, screen, bad, battery","['receive', 'verizon', 'allow', 'account', 'current', 'plan']"
36,36,3.0,0.75,"work, product, well, problem, return, item, box, screen, bad, battery","['work', 'well']"
37,37,1.0,0.3855000138282776,"buy, price, fast, really, give, love, look, money, day, quality","['camera', 'figure', 'allow', 'button', 'shortcut', 'overkill', 'price', 'expect']"
38,38,1.0,0.8463000059127808,"buy, price, fast, really, give, love, look, money, day, quality","['become', 'obsolete', 'waste', 'money']"
39,39,3.0,0.633400022983551,"work, product, well, problem, return, item, box, screen, bad, battery","['foolishly', 'expect', 'let', 'work', 'never', 'disposable', 'regular', 'cell', 'worthless']"
40,40,3.0,0.625,"work, product, well, problem, return, item, box, screen, bad, battery",['little']
41,41,0.0,0.41670000553131104,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color","['buy', 'gift']"
42,42,3.0,0.6610999703407288,"work, product, well, problem, return, item, box, screen, bad, battery","['fine', 'prepaid', 'plan', 'activate', 'exist', 'account', 'verizon', 'prepaid', 'plan', 'month', 'people', 'exist', 'contract', 'look', 'cheap', 'way', 'replace', 'break', 'lose', 'option', 'cheap', 'better']"
43,43,3.0,0.5151000022888184,"work, product, well, problem, return, item, box, screen, bad, battery","['contract', 'new', 'contract', 'ready', 'buy', 'nogthe']"
44,44,3.0,0.5005000233650208,"work, product, well, problem, return, item, box, screen, bad, battery","['connect', 'verizon', 'meid', 'number', 'conflict', 'verizon', 'possible', 'return']"
45,45,3.0,0.4799000024795532,"work, product, well, problem, return, item, box, screen, bad, battery","['guarantee', 'never', 'buy', 'cell', 'month', 'start', 'beep', 'plug', 'charger', 'give', 'spurious', 'warning', 'message', 'wrong', 'battery', 'unsupporte', 'battery', 'eventually', 'usually', 'recharge', 'call', 'ticket', 'send', 'battery', 'week', 'send', 'finished', 'service', 'send', 'email', 'ship', 'replacement', 'week', 'arrive', 'check', 'tracking', 'number', 'discover', 'mail', 'guy', 'month', 'call', 'web', 'send', 'battery', 'arrive', 'put', 'display', 'malfunction', 'problem', 'battery', 'call', 'tell', 'battery', 'door', 'week', 'later', 'email', 'receive', 'shipment', 'reply', 'email', 'regret', 'ticket', 'reject', 'due', 'follow', 'reason', 'reject', 'incomplete', 'kit', 'original', 'item', 'ship', 'back', 'unrepaired', 'separate', 'email', 'product', 'ship', 'message', 'completely', 'erroneous', 'ship', 'back', 'follow', 'receive', 'week', 'later', 'message', 'problem', 'find', 'lock', 'operation', 'software', 'emergency', 'solution', 'update', 'pass', 'functional', 'testing', 'week', 'arrive', 'back', 'appear', 'work', 'sign', 'experience', 'cell', 'malfunction', 'mistake', 'fluke', 'systematically', 'wrong', 'resurrect', 'online', 'continue']"
46,46,3.0,0.42649999260902405,"work, product, well, problem, return, item, box, screen, bad, battery","['verizon', 'buy', 'new', 'prepaid', 'wait', 'month', 'activate', 'regular', 'verizon', 'block', 'excellent', 'old', 'technology', 'mean', 'backup', 'restore', 'contact', 'verify', 'verizon', 'store', 'darn']"
47,47,2.0,0.41040000319480896,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['last', 'year', 'start', 'problem', 'probably', 'treat', 'likely', 'buy', 'replace']"
48,48,1.0,0.8363000154495239,"buy, price, fast, really, give, love, look, money, day, quality","['lose', 'amazing', 'prefer', 'call', 'old', 'really', 'phenomenal', 'device']"
49,49,3.0,0.5497000217437744,"work, product, well, problem, return, item, box, screen, bad, battery","['taper', 'hard', 'grasp', 'flip', 'open', 'key', 'push', 'press']"
50,50,3.0,0.9032999873161316,"work, product, well, problem, return, item, box, screen, bad, battery","['usually', 'problem', 'order', 'product', 'time', 'satisfy', 'damage', 'feature', 'problem', 'stay_charge', 'fully', 'charge', 'call', 'die', 'put', 'night', 'morning', 'energy']"
51,51,3.0,0.8403000235557556,"work, product, well, problem, return, item, box, screen, bad, battery","['find', 'hard', 'way', 'activate', 'carrier', 'buy', 'prepaid', 'card', 'prepaid', 'verizon']"
52,52,1.0,0.7506999969482422,"buy, price, fast, really, give, love, look, money, day, quality","['several', 'year', 'old', 'still', 'perform', 'day']"
53,53,3.0,0.6225000023841858,"work, product, well, problem, return, item, box, screen, bad, battery",['honor']
54,54,0.0,0.6229000091552734,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color","['expect', 'low', 'battery', 'consumption']"
55,55,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
56,56,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
57,57,0.0,0.41670000553131104,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color","['wrong', 'item']"
58,58,3.0,0.7296000123023987,"work, product, well, problem, return, item, box, screen, bad, battery","['unlimited', 'feature']"
59,59,3.0,0.6080999970436096,"work, product, well, problem, return, item, box, screen, bad, battery","['bad', 'flip', 'ever', 'difficult', 'open', 'sound', 'terrible', 'old', 'far', 'better']"
60,60,3.0,0.5688999891281128,"work, product, well, problem, return, item, box, screen, bad, battery","['prepaid', 'emergency', 'situation', 'wish', 'verizon', 'give', 'option', 'prepay', 'plan', 'talk', 'anymore']"
61,61,3.0,0.6011999845504761,"work, product, well, problem, return, item, box, screen, bad, battery","['purchase', 'renew', 'advertise', 'work', 'account', 'advise', 'change', 'shortly', 'purchase', 'install', 'find', 'message', 'one', 'leave', 'note', 'internet', 'wi_fi', 'work', 'app', 'store', 'visit', 'check', 'software', 'fine', 'hardware', 'software', 'return']"
62,62,2.0,0.5703999996185303,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['buy', 'replace', 'stepfather', 'wear', 'smartphone', 'perfect', 'old', 'crowd', 'mess', 'learn', 'new']"
63,63,3.0,0.7372000217437744,"work, product, well, problem, return, item, box, screen, bad, battery","['terrible', 'sound', 'aluminum', 'foil', 'rub', 'person', 'talk', 'throw', 'box', 'away', 'therefore', 'send', 'back']"
64,64,3.0,0.45159998536109924,"work, product, well, problem, return, item, box, screen, bad, battery","['lose', 'surprise', 'work', 'well']"
65,65,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
66,66,2.0,0.46560001373291016,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['week', 'ago', 'att', 'stock', 'year', 'rough', 'include', 'purposly', 'throw', 'floor', 'brag', 'new', 'smart', 'impress', 'construction', 'purchase', 'replacement', 'tough', 'stock', 'store', 'include', 'software', 'sync', 'pc', 'work', 'new', 'version', 'download', 'software', 'find', 'soft', 'key', 'programmable', 'match', 'old', 'tundra', 'real', 'read', 'complaint', 'inability', 'disable', 'disabled', 'tundra', 'option', 'datum', 'key', 'tundra', 'allow', 'lock', 'usage', 'inadvertent', 'connection', 'lockable', 'internet', 'tundra', 'able', 'usb', 'connect', 'pc', 'datum', 'transfer', 'mini', 'sim_card', 'instal', 'speak', 'durability', 'assure', 'toss', 'floor']"
67,67,3.0,0.42559999227523804,"work, product, well, problem, return, item, box, screen, bad, battery","['purchase', 'last', 'year', 'break', 'decide', 'new', 'month', 'charge', 'buy', 'new', 'battery', 'external', 'charger', 'still', 'turn', 'call', 'small', 'waranty', 'void', 'tell', 'crack', 'screen', 'charge', 'problem', 'charge', 'problem', 'cover', 'waranty', 'responsilbe', 'repair', 'include', 'screen', 'cost', 'send', 'instead', 'check', 'power', 'supply', 'defective', 'cost', 'fix', 'worth', 'extreemly', 'annoying', 'rugge', 'quit', 'month', 'waranty', 'void', 'basically', 'cosmetic', 'issue', 'outer', 'screen', 'money', 'example', 'poor', 'part', 'att', 'simm', 'card', 'last', 'much', 'long']"
68,68,3.0,0.5598999857902527,"work, product, well, problem, return, item, box, screen, bad, battery","['big', 'problem', 'transfer', 'file', 'window', 'bit', 'pc', 'way', 'storage', 'card', 'card', 'reader', 'work', 'pc', 'studio', 'software', 'bought', 'datum', 'useless', 'first', 'tell', 'bad', 'datum', 'cable', 'load', 'software', 'finally', 'admit', 'work', 'slightly', 'annoying', 'thing', 'cover', 'flimsy', 'rubber', 'flap', 'hard', 'look', 'last', 'test', 'time', 'constant', 'give', 'star', 'call', 'quality', 'reception', 'fine']"
69,69,1.0,0.4097000062465668,"buy, price, fast, really, give, love, look, money, day, quality","['replace', 'old', 'sturdy', 'ever', 'reliable', 'serve', 'faithfully', 'full', 'year', 'att', 'determine', 'tolerate', 'service', 'network', 'planet', 'large', 'company', 'send', 'note', 'advise', 'non', 'support', 'excellence', 'offer', 'free', 'att', 'store', 'story', 'ugly', 'store', 'employee', 'urge', 'several', 'free', 'point', 'unpopular', 'model', 'att', 'discontinue', 'sale', 'simply', 'offload', 'landfill', 'ask', 'frill', 'model', 'rugge', 'old', 'reply', 'none', 'recommend', 'misnamed', 'rugby', 'thing', 'catch', 'decline', 'free', 'buy', 'reliable', 'model', 'upgrade', 'bad', 'att', 'charge', 'additional', 'upgrade', 'fee', 'cut', 'minute', 'half', 'lock', 'new', 'year', 'contract', 'leave', 'business', 'trip', 'next', 'day', 'suck', 'buy', 'rugby', 'story', 'uglier', 'seriously', 'overheat', 'minute', 'button', 'menu', 'aggressively', 'counter', 'intuitive', 'voice', 'quality', 'worst', 'ever', 'encounter', 'feature', 'locate', 'avoid', 'bring', 'additional', 'charge', 'disabled', 'button', 'back', 'replace', 'happy', 'less', 'functional', 'young', 'revolutionary', 'rugby', 'last', 'year', 'never', 'topple']"
70,70,3.0,0.5203999876976013,"work, product, well, problem, return, item, box, screen, bad, battery","['look', 'somewhat', 'old', 'fashioned', 'cell', 'indeed', 'okay', 'respect', 'biggie', 'thus', 'key', 'left', 'hand', 'side', 'extremely', 'sensitive', 'almost', 'unavoidable', 'open', 'otherwise', 'handle', 'result', 'receive', 'ptt', 'initialization', 'prompt', 'dozen', 'time', 'first', 'day', 'ownership', 'ptt', 'bad', 'pay', 'feature', 'problem', 'encounter', 'virtually', 'time', 'web', 'site', 'ask', 'disabling', 'feature', 'receive', 'response', 'suggest', 'touch', 'eventually', 'stunned', 'fix', 'purchase', 'known', 'problem', 'first', 'likely', 'last', 'product', 'much', 'web', 'site', 'simple', 'query', 'wire', 'work', 'find', 'product']"
71,71,3.0,0.47850000858306885,"work, product, well, problem, return, item, box, screen, bad, battery","['manual', 'useful', 'confusing', 'time', 'basic', 'setup', 'call', 'quality', 'complaint', 'difficult', 'stay', 'instal', 'battery', 'instruction', 'wrong', 'manual', 'wrong', 'turn', 'screw', 'wrong', 'way', 'keep', 'pop', 'asking', 'pay', 'extra', 'city', 'caller', 'answer', 'reset', 'charge', 'time', 'fee', 'free', 'upgrade']"
72,72,1.0,0.5952000021934509,"buy, price, fast, really, give, love, look, money, day, quality","['throw', 'instance', 'accidentally', 'leave', 'power', 'pant', 'pocket', 'pant', 'machine', 'wash', 'discover', 'wash', 'machine', 'finish', 'still', 'turn', 'apart', 'let', 'dry', 'overnight', 'still', 'today', 'survive', 'abuse', 'year', 'notice', 'recently', 'cycle', 'annoyance', 'turn', 'restart', 'middle', 'conversion', 'mess', 'put', 'date', 'still', 'daily', 'punishment', 'give', 'experience', 'almost', 'understand', 'rate', 'star', 'reminded', 'people', 'write', 'review', 'thing', 'enjoy', 'write', 'review', 'thing', 'problem', 'remember', 'research', 'experience', 'purchase', 'share', 'review']"
73,73,1.0,0.4869999885559082,"buy, price, fast, really, give, love, look, money, day, quality","['buy', 'first', 'contractor', 'home', 'repair', 'buy', 'first', 'almost', 'yr', 'ago', 'beat', 'drop', 'half', 'story', 'roof', 'land', 'conc', 'patio', 'jar', 'card', 'loose', 'pushing', 'work', 'new', 'daily', 'put', 'leg', 'drive', 'never', 'fail', 'bounce', 'ground', 'still', 'work', 'day', 'contract', 'renewal', 'new', 'kind', 'stash', 'old', 'beat', 'away', 'lastweek', 'gas', 'station', 'leave', 'drive', 'return', 'retrieve', 'old', 'new', 'sim', 'card', 'instal', 'charge', 'bam', 'still', 'work', 'durable', 'beat']"
74,74,1.0,0.4320000112056732,"buy, price, fast, really, give, love, look, money, day, quality","['month', 'ago', 'new', 'contract', 'son', 'return', 'decide', 'keep', 'day', 'pocket', 'display', 'mess', 'store', 'tell', 'pressure', 'crack', 'repair', 'cover', 'warranty', 'acknowledge', 'damage', 'sell', 'electronic', 'harsh', 'treatment', 'fact', 'gently', 'handle', 'show', 'exterior', 'wear', 'tear', 'advertise', 'rugge', 'extremely', 'disappointed', 'stand', 'product', 'btw', 'reviewer', 'comment', 'placement', 'ptt', 'browser', 'button', 'true', 'accidental', 'activation', 'service', 'constantly', 'inevitable']"
75,75,1.0,0.43970000743865967,"buy, price, fast, really, give, love, look, money, day, quality","['sound', 'crazy', 'talk', 'flip', 'cheap', 'one', 'productivity', 'really', 'like', 'talk', 'email', 'gmail', 'sync', 'text', 'messaging', 'must', 'month', 'extra', 'talk', 'drop', 'put', 'screensaver', 'case', 'beat', 'old', 'fashion', 'flip', 'talk', 'rugby', 'best']"
76,76,1.0,0.4821999967098236,"buy, price, fast, really, give, love, look, money, day, quality","['still', 'fairly', 'new', 'speak', 'long', 'term', 'durability', 'reviewer', 'impression', 'fairly', 'decent', 'product', 'turn', 'money', 'shake', 'device', 'father', 'quite', 'inept', 'technology', 'notoriously', 'hard', 'choose', 'rugby', 'offer', 'simplicity', 'durability', 'start', 'endlessly', 'decline', 'add', 'service', 'necessarily', 'push', 'talk', 'time', 'answer', 'rugby', 'finger', 'rest', 'button', 'first', 'decline', 'add', 'feature', 'answer', 'way', 'disable', 'physically', 'damage', 'button', 'activate', 'large', 'center', 'button', 'course', 'browser', 'launch', 'hit', 'time', 'class', 'action', 'datum', 'entrapment', 'gps', 'button', 'senior', 'hit', 'launch', 'service', 'disable', 'attempt', 'festooned', 'service', 'stick', 'due', 'location', 'certainly', 'final', 'straw', 'finally', 'subscriber', 'pen', 'bust', 'open', 'finally', 'stop', 'shake', 'customer', 'accidental', 'service', 'order', 'unacceptable', 'star', 'feel', 'quality', 'eleventy', 'star', 'customer', 'disdain']"
77,77,3.0,0.5101000070571899,"work, product, well, problem, return, item, box, screen, bad, battery","['almost', 'year', 'work', 'fine', 'far', 'yesterday', 'accidentally', 'drop', 'water', 'die', 'immediately', 'first', 'mishap', 'durability', 'definitely', 'advertise']"
78,78,1.0,0.738099992275238,"buy, price, fast, really, give, love, look, money, day, quality","['durable', 'never', 'abuse', 'drop', 'month', 'side', 'hinge', 'break', 'answer', 'honor', 'consider', 'abuse', 'dealer', 'buy', 'piece', 'junk', 'buy', 'sorry']"
79,79,1.0,0.8158000111579895,"buy, price, fast, really, give, love, look, money, day, quality","['look', 'simple', 'quality', 'cell', 'confuse', 'setup', 'instruction', 'poor', 'reception']"
80,80,3.0,0.4154999852180481,"work, product, well, problem, return, item, box, screen, bad, battery","['advertise', 'rugged', 'military', 'spec', 'certify', 'buy', 'break', 'month', 'ordinary', 'warranty', 'suggest', 'find']"
81,81,1.0,0.5659000277519226,"buy, price, fast, really, give, love, look, money, day, quality","['old', 'happier', 'free']"
82,82,3.0,0.625,"work, product, well, problem, return, item, box, screen, bad, battery",['cell']
