,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1245,1245,1.0,0.4284000098705292,"buy, price, fast, really, give, love, look, money, day, quality","['still', 'work', 'husband', 'drop', 'time']"
1246,1246,3.0,0.5875999927520752,"work, product, well, problem, return, item, box, screen, bad, battery","['defective', 'sure', 'store', 'screw', 'call', 'ship', 'problem', 'problem', 'buy', 'love', 'work', 'though']"
1247,1247,3.0,0.6583999991416931,"work, product, well, problem, return, item, box, screen, bad, battery","['problem', 'replace', 'microphone', 'bad', 'voice', 'cut', 'unhappy']"
1248,1248,3.0,0.5935999751091003,"work, product, well, problem, return, item, box, screen, bad, battery","['horrible', 'learn', 'recognize', 'new', 'word', 'call', 'verify', 'text', 'input', 'text', 'really', 'small', 'way', 'adjust', 'curse', 'word', 'buy']"
1249,1249,3.0,0.8125,"work, product, well, problem, return, item, box, screen, bad, battery","['find', 'hard', 'way']"
1250,1250,3.0,0.37459999322891235,"work, product, well, problem, return, item, box, screen, bad, battery","['fail', 'last', 'time', 'throw', 'room', 'broke', 'monitor', 'throw', 'fury', 'happen', 'time', 'person', 'end', 'keep', 'ask', 'eventually', 'hung', 'person', 'call', 'back', 'familiar', 'hang', 'fly', 'room', 'shatter', 'monitor', 'speaker', 'suck', 'loud', 'enough', 'unclear', 'frequently', 'ask', 'people', 'repeat', 'decent', 'speaker', 'year', 'manufacturer', 'focus', 'much', 'effort', 'texte', 'apps', 'call', 'texte', 'app', 'look', 'put', 'left', 'engineer', 'design', 'part', 'manufacture', 'give', 'cheap', 'price']"
1251,1251,3.0,0.625,"work, product, well, problem, return, item, box, screen, bad, battery",['work']
1252,1252,2.0,0.7405999898910522,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['broke', 'month']"
1253,1253,2.0,0.6236000061035156,"describe, new, connect, screen, week, brand, last, basic, arrive, glass",['fancy']
1254,1254,1.0,0.41620001196861267,"buy, price, fast, really, give, love, look, money, day, quality","['state', 'buy']"
1255,1255,3.0,0.7293000221252441,"work, product, well, problem, return, item, box, screen, bad, battery","['likeed', 'much']"
1256,1256,3.0,0.6425999999046326,"work, product, well, problem, return, item, box, screen, bad, battery","['bad', 'purchase', 'ever', 'scratch', 'button', 'work', 'talk', 'sound', 'water', 'disappoint']"
1257,1257,3.0,0.3752000033855438,"work, product, well, problem, return, item, box, screen, bad, battery","['fast', 'delivery', 'order', 'new', 'cell']"
1258,1258,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
1259,1259,0.0,0.6047000288963318,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",['convoy']
1260,1260,2.0,0.4672999978065491,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['faulty', 'lag', 'whenever', 'receive', 'text_message', 'open', 'disrupt', 'currently', 'impress', 'slight', 'returning']"
1261,1261,3.0,0.520799994468689,"work, product, well, problem, return, item, box, screen, bad, battery","['original', 'model', 'convoy', 'longer', 'accept', 'charge', 'work', 'plug', 'less', 'year', 'old', 'call', 'replacement', 'battery', 'tell', 'longer', 'order', 'current', 'model', 'convoy', 'arrive', 'day', 'open', 'exactly', 'battery', 'one', 'tell', 'longer', 'ever', 'arrive', 'battery', 'life', 'extremely', 'erratic', 'let', 'preface', 'state', 'almost', 'never', 'function', 'mainly', 'nightstand', 'clock', 'check', 'time', 'call', 'open', 'time', 'day', 'always', 'sure', 'battery', 'low', 'bar', 'fully', 'recharge', 'charge', 'last', 'anywhere', 'week', 'overnight', 'charge', 'sometimes', 'day', 'long', 'sometimes', 'next', 'morning', 'bar', 'battery', 'life', 'bring', 'first', 'check', 'problem', 'battery', 'idea', 'charge', 'much', 'virtually', 'overnight', 'problem', 'sooner', 'later', 'new', 'definitely', 'different', 'cell']"
1262,1262,3.0,0.46129998564720154,"work, product, well, problem, return, item, box, screen, bad, battery","['basic', 'work', 'send', 'simple', 'text_message', 'big', 'piece', 'junk', 'ever_owne', 'understand', 'buy', 'smartphone', 'people', 'stupid', 'play', 'angry', 'bird', 'send', 'text_message', 'tough', 'receive', 'work', 'box', 'replace', 'verizon', 'pretty', 'lame', 'pay', 'full', 'retail', 'early', 'disappointing', 'thing', 'smartphone', 'number', 'bad', 'thing', 'time', 'type', 'message', 'apostrophe', 'hit', 'period', 'button', 'number', 'completely', 'different', 'word', 'sometimes', 'hit', 'next', 'word', 'button', 'time', 'enter', 'period', 'stressful', 'update', 'word', 'add', 'thing', 'dictionary', 'possible', 'past', 'twice', 'long', 'send', 'message', 'ever', 'care', 'play', 'angry', 'bird', 'work']"
1263,1263,3.0,0.6704999804496765,"work, product, well, problem, return, item, box, screen, bad, battery","['overall', 'thing', 'first', 'speakerphone', 'person', 'receive', 'call', 'problem', 'hear', 'later', 'discover', 'cut', 'noise', 'cancellation', 'setting', 'problem', 'away']"
1264,1264,3.0,0.59579998254776,"work, product, well, problem, return, item, box, screen, bad, battery","['replace', 'lose', 'praise', 'turn', 'volume', 'squeak', 'hear', 'telephone', 'service', 'terrible', 'really', 'bad', 'buy', 'put', 'service', 'substandard', 'telephone', 'pay', 'stocking', 'charge']"
1265,1265,1.0,0.40959998965263367,"buy, price, fast, really, give, love, look, money, day, quality","['convoy', 'year', 'find', 'great', 'age', 'send', 'last', 'wash', 'rescue', 'buy', 'convoy', 'backup', 'totally', 'fail', 'note', 'review', 'font', 'size', 'message', 'change', 'significantly', 'small', 'convoy', 'really', 'really', 'annoying', 'feel', 'waste', 'money', 'upgrade', 'convoy', 'find', 'better']"
